"Ciudad","Alimentos y bebidas no alcohólicas","Bebidas alcohólicas y tabaco","Prendas de vestir y calzado","Alojamiento, agua, electricidad, gas y otros combustibles","Muebles, artículos para el hogar y para la conservación ordinaria del hogar","Salud","Transporte","Información y comunicación","Recreación y cultura","Educación","Restaurantes y hoteles","Bienes y servicios diversos"
"Montería","78.727179306039403","20.977541622834199","31.000492105334498","149.233180032056","17.1259932185068","6.4282568520820895","41.172155513156","18.371840977705599","13.1883721652374","39.639461264826799","35.067533077755598","47.700589592333003"
"Neiva","82.020748302278193","18.713824740687599","29.352073576676602","185.70964440119101","25.306004111374101","13.729084825948298","71.104934101692194","29.055087388868799","17.382188902562298","58.057574085801498","67.232213151469594","107.796901443021"
"Pasto","90.088594650057004","15.3134393956057","30.469361368361799","167.25231898749701","26.595303848042899","17.485329726151701","62.680709361323196","24.516964039721099","16.986647327060297","54.312185761876201","58.619642125470399","121.502108912577"
"Pereira y A.M.","98.213362377368796","15.5826628640856","37.505831166911399","185.981368816735","21.245336483316301","12.7834956786846","61.4895666162898","29.0175606393809","22.120308824199899","55.893265611718697","48.777764247015497","95.683948654391898"
"Popayán","95.599859864432602","24.145407273879197","28.330523292455599","168.241427107346","18.065121161432","18.6682829679287","48.613158594801298","23.970345974505502","14.2789258794975","33.3323480423389","51.614838226884402","80.224522935403698"
"Puerto Carreño","76.526599576788996","14.303674215491899","21.921835808283397","127.65022176679601","18.689812122500602","7.4058734398148802","22.506353517364403","16.448974225351602","15.629314421408301","38.573762297934302","39.480608338327301","70.646142166959194"
"Quibdó","78.221811771896412","15.3348202046356","30.992396682849801","110.47387510029","12.1646271811645","5.5304730639311703","26.596130265751199","19.069885039417599","9.12392968122791","10.2528144353844","22.134080356656998","48.608250282519201"
"Riohacha","80.971876165142703","20.365796091223899","27.4308704052733","124.753160400216","17.9353507836829","8.9711324543540591","42.721071356120405","18.964562745278599","14.6311307391595","32.928762362359301","36.7070660653076","67.857329329944307"
"Rionegro","96.559803341249605","16.740510277356599","34.975021932469502","212.01246950221","14.8949498319932","12.686372095051301","108.93473198424","30.800642320340501","19.927617406611102","36.618488746483806","41.238737766983803","66.093653398137107"
"San Andrés","96.2399058852628","24.0127254397222","41.456201611128002","219.78606937755001","19.509825935069699","7.0488462494731499","66.933062179450005","29.258981931760299","21.108206441091799","48.332867999192899","110.246948444298","84.920660945472392"
"San José del Guaviare","74.030758136922103","21.646740228599302","31.567161665510699","124.521317412869","22.775748585988801","14.922207774262001","24.069446066818898","19.1844084889035","16.109946734667101","52.733227272685298","51.310473121702195","77.696989249631088"
"Santa Marta","83.177318469998994","17.405050390176701","20.964454110247001","154.86108868548502","11.174254935400301","5.8841186719780998","40.853101899894199","17.084576459507801","10.122709436442799","29.845622192704798","37.859139787367802","52.0188433658695"
"Sincelejo","77.200627358166201","21.152903437940399","24.733680609070699","144.13177526290102","18.694073684487698","12.365244018703001","48.499145689265596","19.159433637917502","12.190541853656098","36.420439940286798","39.096584701748704","70.623035488713697"
"Soledad","83.865001631019695","17.636188308246602","14.622890616364701","128.17469698112998","11.013837421267899","6.0815905164096904","46.244431143811198","13.165311764383899","7.6477752339093907","18.6049477582227","42.493029409538401","32.707493626449498"
"Tumaco","105.46932658074","20.187633730816199","27.023933124306602","88.762860139671602","14.1649446287744","9.8270209036628806","24.756932317495799","10.489230744550198","9.2621392654356001","29.318639767649099","35.233538853094899","62.302951593412899"
"Tunja","99.406962423404295","19.537762299006001","37.4174932071925","218.41574478005302","25.127083371335999","22.566309458670798","92.478443562344296","32.5176995205873","22.217922525623198","63.809260861746104","66.074248973198493","157.37363386011901"
"Valledupar","76.490007713941793","25.7059983083509","25.704132461746301","156.710424322591","15.326591946132599","10.980011000000401","47.7855375753199","20.8836851390449","9.275714385018361","40.621645215965501","36.966160631953898","46.014441224467099"
"Villavicencio","102.06521841997599","24.549213858568802","38.729992177935394","204.80473908533099","24.805760588919","18.073933246093002","75.889549620567095","28.776975522805003","21.811329022901599","46.144235655901802","83.366407381162702","123.14140573326"
"Yopal","83.542203637358597","39.002969216689301","37.649796904713803","189.53391316907698","24.167541545435402","15.2059390897264","54.792356916486895","28.9444426240117","18.358548776884302","71.253413475191707","75.279580304996799","120.709191165677"
"Yumbo","71.067211353321994","16.728375083628098","27.3964205638555","129.528902266155","18.518225527976998","10.578229272071699","49.4297940542452","19.329540712644","18.083996835253","30.573550742046599","31.142792179722001","89.7383268870406"
