link;scrapeado
/Restaurant_Review-g294074-d10332466-Reviews-Antica_Ristorante-Bogota.html;False
/Restaurant_Review-g294074-d10335457-Reviews-Wood_Steel-Bogota.html;False
/Restaurant_Review-g294074-d10337902-Reviews-Breads-Bogota.html;False
/Restaurant_Review-g294074-d10344546-Reviews-Caffiniti-Bogota.html;False
/Restaurant_Review-g294074-d10345388-Reviews-The_Food_Truck_Park-Bogota.html;False
/Restaurant_Review-g294074-d10347276-Reviews-Restaurante_Parrilla_Argentina-Bogota.html;False
/Restaurant_Review-g294074-d10350175-Reviews-Esencia_Pura-Bogota.html;False
/Restaurant_Review-g294074-d10352928-Reviews-Otto_E_Mezzo-Bogota.html;False
/Restaurant_Review-g294074-d10353441-Reviews-Mis_Carnes_Parrilla-Bogota.html;False
/Restaurant_Review-g294074-d10354183-Reviews-Wribs-Bogota.html;False
/Restaurant_Review-g294074-d10357373-Reviews-Milshake_co-Bogota.html;False
/Restaurant_Review-g294074-d10365169-Reviews-Jhonny_Cay-Bogota.html;False
/Restaurant_Review-g294074-d10367177-Reviews-Backstage_Bar_Bogota-Bogota.html;False
/Restaurant_Review-g294074-d10372733-Reviews-El_Mono_Bandido-Bogota.html;False
/Restaurant_Review-g294074-d10377558-Reviews-Osaka_Cocina_Nikkei-Bogota.html;False
/Restaurant_Review-g294074-d10379354-Reviews-Gatos_Restaurante-Bogota.html;False
/Restaurant_Review-g294074-d10385177-Reviews-Oma-Bogota.html;False
/Restaurant_Review-g294074-d10386133-Reviews-Nova_Pasteleria_Creativa-Bogota.html;False
/Restaurant_Review-g294074-d10387116-Reviews-Cada_Loco_con_su_Tema-Bogota.html;False
/Restaurant_Review-g294074-d10389368-Reviews-La_Provincia-Bogota.html;False
/Restaurant_Review-g294074-d10389670-Reviews-Sakia-Bogota.html;False
/Restaurant_Review-g294074-d10395584-Reviews-Desayunadero_de_la_42-Bogota.html;False
/Restaurant_Review-g294074-d10397439-Reviews-Bogota_Beer_Company-Bogota.html;False
/Restaurant_Review-g294074-d10400716-Reviews-3_Cuartos-Bogota.html;False
/Restaurant_Review-g294074-d10401732-Reviews-Pan_Pa_Ya-Bogota.html;False
/Restaurant_Review-g294074-d10409237-Reviews-La_Biferia_Calle_109-Bogota.html;False
/Restaurant_Review-g294074-d10416813-Reviews-Sushi_de_Pelicula-Bogota.html;False
/Restaurant_Review-g294074-d10424690-Reviews-Onda_Marina-Bogota.html;False
/Restaurant_Review-g294074-d10430085-Reviews-Restaurante_Entre_Pisco_y_Nazca-Bogota.html;False
/Restaurant_Review-g294074-d10434986-Reviews-Konnichiwa-Bogota.html;False
/Restaurant_Review-g294074-d10436420-Reviews-Casa_Blue_Restaurante-Bogota.html;False
/Restaurant_Review-g294074-d10436516-Reviews-Mandala_Healthy_Food-Bogota.html;False
/Restaurant_Review-g294074-d10447696-Reviews-Sazon_Quindio_Express-Bogota.html;False
