"titulo","ano","duracion","pais","direccion","guion","musica","fotografia","reparto","productora","genero","sinopsis","criticas","premios"
"Meltdown: Three Mile Island","2022","172 min.","Estados Unidos","Kief Davidson",NA,"Paul Leonard-Morgan","Luca Del Puppo, David G. Wilson","Documental, James Judice, Kevin Bohleber, Mike Nyman, David Fyne","Moxie Pictures, Netflix. Distribuidora: Netflix","Serie de TV. Documental | Miniserie de TV","Expertos relatan lo ocurrido durante el accidente en la central nuclear de Three Mile Island (Pensilvania), así como las controversias y repercusiones que generó.","""Interesante y fascinante (...) Te gustará si disfrutaste de la serie 'Chernobyl' y eres fan del trabajo de Kief Davidson (...) Puntuación: ★★½ (sobre 5)"" 
Romey Norton: Ready Steady Cut
""Puede que utilice, especialmente al inicio, herramientas un poco amateur (...) Pero el poder de la historia que cuenta finalmente triunfa"" 
Daniel D'Addario: Variety
""En lugar de recrear un evento que podría investigarse fácilmente, toma un suceso conocido del último medio siglo y llena los vacíos de información, desmontando las creencias populares sobre dicho suceso"" 
Joel Keller: Decider
""Crece cuando elige centrarse en algunas pocas pero fundamentales historias que se van interconectando entre sí a través de los años."" 
Diego Lerer: MicropsiaCine.com",NA
"Hold Your Breath: The Ice Dive","2022","40 min.","Reino Unido","Ian Derry",NA,"Galya Bisengalieva",NA,"Documental, intervenciones de: Johanna Nordblad, Elina Manninen","Distribuidora: Netflix","Documental | Biográfico. Deporte. Mediometraje. Submarinismo","El documental sigue a la buceadora Johanna Nordblad mientras se prepara para batir el récord mundial de distancia recorrida bajo el hielo buceando a pulmón.","""La clase de documental que esperarías de Netflix (...) Aunque no quedará en la memoria del espectador para siempre, sigue siendo disfrutable (...) Puntuación: ★★½ (sobre 5)"" 
Jordan Russell Lyon: Ready Steady Cut",NA
"¿Nos casamos? Sí, mi amoraka","2022","105 min.","Perú","Pedro Flores Maldonado","Pedro Flores Maldonado, Yiddá Eslava","Deyvis Orosco",NA,"Yiddá Eslava, Julián Zucchi, Andrés Salas, Ernesto Pimentel, Patricia Portocarrero, Saskia Bernaola, Pietro Sibille, Danny Rosales, Mayra Olivera, Santiago Suárez","Wallaz","Comedia | Bodas. Secuela","Julián decide que ya es momento de dar el siguiente paso y es así que busca pedirle matrimonio a su amada, pero las cosas se complican y nada sale como lo había planeado. ",NA,NA
"Showtime 1958","2020","109 min.","Malasia","Anwardi Jamil","Anwardi Jamil, Jamil Sulong. Historia original: Anwardi Jamil, Jamil Sulong",NA,NA,"Amai Kamarudin, Shah Iskandar, Ngasrizal Ngasri, Yna Rose Noah, Wan Nur Afiyah Wan Azli, Irfan Zaini, Mubarak Majid, Amalina Arham, Fatin Afeefa, Farah Ahmad, Henzi Andalas, Chi Azim, Aprena Manrose, Halim Sabir","Nafalia Corporation. Distribuidora: Netflix","Drama | Basado en hechos reales. Años 50","En esta película basada en hechos reales, P. Ramlee organiza un espectáculo de variedades para recaudar fondos para compañeros que perdieron su trabajo antes del Eid. ",NA,NA
"Octonauts: Above & Beyond","2021",NA,"Reino Unido","Patrice Berube","Libro: Michael Murphy, Vicki Wong",NA,"Animación","Animación","Distribuidora: Netflix","Animación. Serie de TV. Infantil","Los Octonautas amplían su exploración más allá del mar hasta la tierra firme. Con nuevos vehículos y amigos, protegerán cualquier hábitat y animal en peligro.",NA,NA
"Amor de madre","2022","110 min.","España","Paco Caballero","Cristóbal Garrido, Adolfo Valor","Lucas Vidal","David Valldepérez, David Omedes","Quim Gutiérrez, Carmen Machi, Celia Freijeiro, Andrés Velencoso, Edeen Bhugeloo, Jake Francois, Yolanda Ramos, Jorge Suquet, Juanjo Cucalón, Justina Bustos, Joaquín Ortega, Pere Costa, Dominique Guillo, Danny Bhowaneedin","Morena Films, The Lab Cinema, Identical Pictures. Distribuidora: Netflix","Comedia | Comedia romántica","A José Luis (Quim Gutiérrez) acaban de dejarlo plantado en el altar, y por si esto fuera poco, Mari Carmen (Carmen Machi), su madre, se ha empeñado en acompañarlo a la luna de miel con la excusa de no perder el dinero. Cada minuto que pasan en Mauricio, José Luis se siente más infeliz y fracasado, mientras que Mari Carmen se lo pasa como nunca, viviendo todas las experiencias que siempre había deseado y revelándose como la maravillosa mujer que es en realidad, y que su familia no ve. ","""Resulta eficaz en su propósito como entretenimiento liviano. En definitiva, se disfruta sin sentimiento de culpabilidad. (...) el guion (...) es ágil y juguetón (…) Puntuación: ★★★ (sobre 5)"" 
Beatriz Martínez: El Periódico de España
""Una comedia mainstream atravesada por ese ciclón interpretativo (...) que es Carmen Machi (...) gana en intensidad cuando vira hacia el diálogo maternofilial, asomándose la verdad entre lo cómico y grotesco. (…) Puntuación: ★★★½ (sobre 5)"" 
Sergio F. Pinilla: Cinemanía
""Puede que sea predecible, pero es emotiva y genuinamente divertida en algunos puntos y potenciada por una adorable interpretación de Carmen Machi"" 
Jade Budowski: Decider
""Una comedia burbujeante sobre la relación entre madre e hijo: quizás sea una historia superficial, pero funciona como aperitivo y logra ponerte una sonrisa en la cara (...) Puntuación: ★★★ (sobre 5)"" 
Abirbhab Maitra: Ready Steady Cut",NA
"Ozark","2017","60 min.","Estados Unidos","Bill Dubuque (Creador), Mark Williams (Creador), Jason Bateman, Andrew Bernstein, Ellen Kuras, Daniel Sackheim, Alik Sakharov, Benjamin Semanoff, Phil Abraham, Amanda Marsalis, Cherien Dabis, Melissa Hickey, Robin Wright, Laura Linneyver 6 más","Bill Dubuque, Mark Williams, Paul Kolsby, Chris Mundy, Ryan Farley, David Manson, Martin Zimmerman, Ning Zhou, Alyson Feltes, Whit Anderson, Miki Johnson, John Shiban, Laura Deeley, Jed Rapp Goldstein, Michael M. Changver 11 más","Danny Bensi, Saunder Jurriaans","Ben Kutchins, Pepe Avila del Pino, Armando Salas, Michael Grady, Manuel Billeter, Eric Koretz, Shawn Kim, Attila Szalayver 4 más","Jason Bateman, Laura Linney, Julia Garner, Sofia Hublitz, Skylar Gaertner, Peter Mullan, Janet McTeer, Jason Butler Harner, Anthony Collins, Esai Morales, Harris Yulin, Felix Solis, Carson Holmes, Marc Menchaca, McKinley Belcher III, Kevin L. Johnson, Michael Tourek, Dirk Allison, Joseph Melendez, Robert C. Treveiler, Evan George Vourazeris, Lisa Emery, Bruce Davison, Jordana Spiro, Charlie Tahan, Trevor Long, Michael Mosley, Darren Goldstein, Christopher Baker, Bethany Anne Lind, Nelson Bonilla, Sandy Givelber, Lindsay Ayliffe, Damian Young, Adam Boyer, Melissa Saint-Amand, John Bedford Lloyd, Jessica Frances Dukes, Tom Pelphrey, Joe Sikora, Alfonso Herrera, Christopher Cocke, Veronica Falcón, Ali Stroker, Bruno Bichir, Bruce Altman, Sarah McLachlan, Ben Rappaport, Tess Malis Kincaid, Adam Rothenberg, Katrina Lenkver 38 más","Netflix, Zero Gravity Management, Media Rights Capital (MRC), Aggregate Films. Distribuidora: Netflix","Serie de TV. Thriller. Drama | Crimen. Drogas. Familia","Serie de TV (2017-2022). 4 temporadas. 44 episodios. Marty Byrde (Jason Bateman) es un asesor financiero de Chicago con una vida aparentemente normal en el trabajo y en su familia. Casado con Wendy (Laura Linney) y con dos hijos, Charlotte (Sofia Hublitz) y Jonah (Skylar Gaertner), todos llevan una rutina apacible y ordinaria. Pero bajo esa apariencia la vida de Marty esconde un gran secreto: es el encargado de blanquear el dinero de uno de los cárteles de droga más importantes de México. Todo parece ir bien hasta que sucede un inesperado incidente y Marty decide llevarse a su familia desde Chicago al lago de los Ozarks, en Missouri.

Estreno de la 2ª parte de la cuarta (4T) y última temporada: 29 abril 2022","""[Crítica 4ª temporada, Parte 2]: Hay que verlo para creerlo. La brillantez continúa presente en el final de este clásico instantáneo (...) Puntuación: ★★★½ (sobre 4)"" 
Richard Roeper: Chicago Sun-Times
""[Crítica 4ª temporada, Parte 2]: un serpenteante y malévolo capítulo final, elevado por unas interpretaciones impresionantes (...) Cuando se enfoca en sus puntos fuertes, es tan buena como siempre"" 
Chase Hutchinson: Collider
""[Crítica 4ª temporada, Parte 2]: Más que cualquier cosa, Okarz termina haciendo lo que más ama: tomarse a sí misma demasiado en serio. Sus muchos fans probablemente tampoco lo querrían de otra manera"" 
Daniel Fienberg: The Hollywood Reporter
""[Crítica 4ª temporada, Parte 2]: El adiós más duro para los fans será el de Ruth (...) Es un homenaje a la calidad de su reparto que hayan hecho espacio para que actores de carácter le presten una voz única"" 
Nandini Balial: rogerebert.com
""[Crítica 4ª temporada, Parte 2]: El último episodio de 72 minutos equilibra su impacto con su inevitabilidad y aterriza con la fuerza bruta que se espera de una serie que empezó con una voz en off sobre el verdadero significado del dinero"" 
Ben Travers: IndieWire
""[Crítica 4ª temporada, Parte 2]: La mayor fuerza de estos últimos episodios no reside, sorprendentemente, en sus giros y sorpresas, sino en su recompensa emocional"" 
Valerie Ettenhofer: The Playlist
""[Crítica 4ª temporada, Parte 2]: la serie sobre el mundo criminal más emocionante y gratificante del momento."" 
Stuart Jeffries: The Guardian
Mostrar 46 críticas más","2020: Emmy: Mejor actriz de reparto (Julia Garner). 9 nominaciones
2019: Emmy: Mejor actriz sec. serie drama (Garner) y dirección. 5 nominaciones
2018: Emmy: Nominada a mejor actor (Bateman) y 2 a mejor dirección
2020: Globos de Oro: 4 nominaciones, incluyendo mejor serie drama
2018: Globos de Oro: Nominada a mejor actor drama (Bateman)
2017: Globos de Oro: Nominada a mejor actor drama (Bateman)
Mostrar 14 premios más
2020: Critics Choice Awards: 6 nominaciones incluyendo mejor serie drama
2018: Critics Choice Awards: Nominada a mejor actriz secundaria drama (Garner)
2020: Sindicato de Productores (PGA): Nominada a mejor serie de TV - Drama
2018: Sindicato de Productores (PGA): Nominada a mejor serie de TV - Drama
2020: Sindicato de Directores (DGA): Nominada a Mejor director en serie drama
2018: Sindicato de Directores (DGA): Nominada a Mejor director en serie drama
2020: Sindicato de Guionistas (WGA): Mejor guion en un episodio de serie dramática
2018: Sindicato de Guionistas (WGA): Nominada a mejor guion episodio serie drama
2017: Sindicato de Guionistas (WGA): Nominada a mejor guion en serie nueva
2020: Sindicato de Actores (SGA): Mejor actor drama (Bateman). 4 nominaciones
2018: Sindicato de Actores (SAG): Mejor actor drama (Bateman). 4 nominaciones
2017: Sindicato de Actores (SAG): Nomin. a mejor actor (Bateman) y actriz (Linney)
2020: Satellite Awards: 4 nominaciones, incluyendo a mejor serie drama
2018: Satellite Awards: Nominada a mejor actor en serie drama (Bateman)"
"Grace and Frankie","2015","30 min.","Estados Unidos","Marta Kauffman (Creador), Howard J. Morris (Creador), Arlene Sanford, Dean Parisot, Tim Kirkby, Rebecca Asher, Miguel Arteta, Bryan Gordon, Dennie Gordon, Andrew McCarthy, Julie Anne Robinson, Matt Shakman, Tristram Shapeero, Tate Taylor, Betty Thomas, Scott Winant, Andy Ackerman, Jason Ensler, Alex Hardcastle, Melanie Mayron, Trent O'Donnell, Lee Rose, Michael Showalter, Wendey Stanzler, Jann Turner, Marta Kauffman, Randall Keenan Winston, Ken Whittingham, David Warren, Molly McGlynn, Gail Lerner, John Robert Hoffman, Kelly Park, Todd Holland, Marta Cunningham, Alan Poul, Kyra Sedgwick, Silver Tree, Gail Mancusover 31 más","Marta Kauffman, Howard J. Morris, Nancy Fichman, Jennifer Hoppe, Billy Finnegan, David Budin, Alex Burnett, Brooke Wied, Elena Crevello, Alex Kavallierou, Julieanne Smolinski, Melissa DiNicola, Laura Jacqmin, Julie Durk, Alexa Junge, John Robert Hoffman, Barry Safchik, Michael Platt, Pete Swanson, James Newmyer, Gretchen Enders, Wil Calhoun, Sara Lohman, Jacquelyn Reingold, Ben Siskinver 21 más","Sam Kaufman-Skloff, Michael Skloff","Gale Tattersall, Luke Miller","Jane Fonda, Lily Tomlin, Martin Sheen, Sam Waterston, Timothy V. Murphy, Anna Ross, John Balma, Michael Gross, Mary Linda Phillips, Butch Klein, Jeff Doucette, Brittany Ishibashi, Sam Buchanan, Craig T. Nelson, Sam Elliott, Scott Evans, Brooklyn Decker, June Diane Raphael, Baron Vaughn, Ethan Embry, Tim Bagley, Lindsey Kraft, Peter Cambor, Millicent Martin, Peter Gallagher, Michael Charles Roman, Ernie Hudson, Christine Woods, Jack Plotnick, Michael McKean, Marsha Masonver 18 más","Netflix, Skydance Productions","Serie de TV. Comedia | Sitcom. Amistad. Homosexualidad","Serie de TV (2015-2022). 7 temporadas. 94 Episodios. Jane Fonda (Grace) y Lily Tomlin (Frankie) son dos viejas amigas a quienes les cambia la vida cuando sus respectivos maridos revelan que son homosexuales y que las dejan para empezar su vida juntos. Grace y Frankie son compañeras de discusiones y cómplices que crean un vínculo inusual e inquebrantable y enfrentan todas las incertidumbres del futuro juntas y con la cabeza bien alta. Con sus ex esposos y sus hijos, descubrirán el verdadero significado de familia. ","""Puede ser que le lleve un poco de tiempo, pero 'Grace and Frankie' tiene el potencial para ser algo muy, muy especial. Y mientras tanto, lo que tenemos no está ni medianamente mal. "" 
Liz Shannon Miller: IndieWire
""Fonda y Tomlin ciertamente dan juego (...) A los chicos, sin embargo, apenas se les ve (...) Vistos de cerca, los episodios muestran una cierta calidad repetitiva."" 
Brian Lowry: Variety
""'Grace and Frankie' es divertida e incluso emotiva."" 
Alessandra Stanley: The New York Times
""Aparte de esa sensación de comedia impertinente de la NBC, 'Grace and Frankie' también parece del año 1999."" 
Tim Goodman: The Hollywood Reporter
""La serie de 13 episodios, creada por Marta Kauffman y Howard J. Morris, es simplemente irresistible, sobre todo porque Fonda y Tomlin son irresistibles."" 
David Wiegand: SFGATE
""Aguda, conmovedora y homenajea el vigor de los que se hacen mayores (...) Un regalo de los dioses de la comedia (…) Puntuación: ★★★★ (sobre 5)"" 
Sarah Carson: Telegraph
""Amable y cautivadora, incluso si no es del todo graciosa."" 
Richard Lawson: Vanity Fair","2018: Emmy: Nominada a Mejor actriz comedia (Lily Tomlin)
2017: Emmy: Nominada a mejor actriz (Jane Fonda y Lily Tomlin)
2016: Emmy: Nominada a mejor actriz comedia (Lily Tomlin)
2015: Emmy: Nominada a mejor actriz comedia (Lily Tomlin)
2015: Globos de Oro: Nominada a mejor actriz en comedia (Lily Tomlin)
2015: Satellite Awards: Nominada a mejor actriz en serie comedia (Tomlin)
Mostrar 5 premios más
2020: Sindicato de Guionistas (WGA): Nom. mejor guion en episodio serie cómica
2017: Sindicato de Guionistas (WGA): Nominada a mejor guion episodio serie cómica
2018: Sindicato de Actores (SAG): Nominada a mejor actriz comedia (Tomlin y Fonda)
2017: Sindicato de Actores (SAG): Nominada a mejor actriz comedia (Tomlin y Fonda)
2016: Sindicato de Actores (SAG): Nominada a mejor actriz comedia (Tomlin y Fonda)"
"Rumspringa - Ein Amish in Berlin","2022","101 min.","Alemania","Mira Thiel","Nika Heinrich, Oskar Minkler, Mira Thiel",NA,NA,"Tijan Marei, Gizem Emre, Timur Bartels, Rauand Taleb, Jonas Holdenrieder, Adél Onodi, Leon Ullrich, Matthias Bundschuh, Enno Kalisch, João Kreth d'Orey, Nicole Johannhanwahr","Distribuidora: Netflix","Comedia | Amish","Un joven amish hace un viaje iniciático a Berlín en el que conecta con sus raíces, descubre otros modos de vida, se enamora y se enfrenta a una importante decisión.","""Muestra suficiente ambición como para que resulte más interesante que la mayoría de las películas sobre choques culturales"" 
John Serba: Decider
""Los chistes son tan previsibles y obvios como uno pueda imaginar pero la película (...) No es solemne ni baja línea, más bien es amable y hasta tierna con todos los personajes. Pero lejos está de ser una gran película."" 
Santiago García: Leer Cine",NA
"Bubble","2022","100 min.","Japón","Tetsurō Araki","Gen Urobuchi, Renji Ohki, Naoko Sato. Personajes: Takeshi Obata","Hiroyuki Sawano. Música de apertura: Eve","Animación","Animación","Wit Studio. Distribuidora: Warner Bros. Pictures, Netflix","Animación. Fantástico. Romance. Acción | Futuro postapocalíptico. Catástrofes","La historia se desarrolla en Tokio, después de que burbujas que rompieron las leyes de la gravedad llovieron sobre el mundo. Aislada del mundo exterior, Tokio se ha convertido en un patio de recreo para un grupo de jóvenes que han perdido a sus familias, actuando como un campo de batalla para las batallas en equipo de parkour mientras saltan de un edificio a otro. Hibiki, un joven más conocido por su peligroso estilo de juego, hace un movimiento imprudente un día y cae en picado en el mar de la gravedad. Su vida es salvada por Uta, una chica con poderes misteriosos que aparece de repente. Luego, la pareja escucha un sonido único audible solo para ellos. ¿Por qué apareció Uta antes que Hibiki? Su encuentro conduce a una revelación que cambiará el mundo. ","""Indudablemente, es una película impresionante con algunas de las estrellas más brillantes de la animación japonesa (...) Por desgracia, a pesar de todo ese talento, nunca se convierte en algo totalmente único"" 
Max Covill: Paste Magazine
""No confundir con la 'The Bubble' de Netflix: es un cuento de hadas visualmente impresionante para toda la familia (...) Como muchas cosas en al vida, es difícil encontrarle sentido, pero es incuestionablemente bella"" 
Matt Kodner: Den of Geek
""Los temas, tramas y líos románticos de esta versión cyberpunk de 'La sirenita' se han visto muchas veces antes y de mejores maneras"" 
James Marsh: South China Morning Post
""Una visión efervescente del típico romance anime que combina el anhelo agridulce del amor juvenil con la incertidumbre de unos eventos post-apocalípticos. Lo hace con mucho estilo y una animación magnífica"" 
Brittany Vincent: Decider
""Su magníficas escenas de competiciones aéreas acrobáticas y peligrosas no logran salvarla de su trillada historia (...) Puntuación: ★ (sobre 4)"" 
Christopher L. Inoa: The New York Observer
""'Bubble' es tierna, incluso reflexiva. Pero por desgracia, sus mejores ideas son barridas por una oleada de ideas a medio formar"" 
Kambole Campbell: Polygon
""Una película donde lo visual impera por sobre un guión que por momentos se siente algo confuso. Donde finalmente la belleza de las imágenes logra que el espectador olvide sus falencias."" 
Lya Rosén: Diario La Tercera",NA
"Les 7 vies de Léa","2022","45 min.","Francia","Julien Despaux, Émilie Noblet, Charlotte Sanson (Creador)","Charlotte Sanson, Deborah Hassoun, Dorothée Lachaud, Camille Rosset, Frederic Rosset, Alice Vial","Jean-Benoît Dunckel","Brecht Goyvaerts, Lucie Baudinaud","Raïka Hazanavicius, Khalil Ben Gharbia, Marguerite Thiam, Maïra Schmitt, Théo Fernandez, Rebecca Williams, Anne Azoulay, Alexander Ferrario, Mélanie Doutey, Samuel Benchetrit, Ludovic Coutaud, Keith Farquhar","Empreinte Digitale. Distribuidora: Netflix","Serie de TV. Drama. Fantástico | Viajes en el tiempo","Serie de TV (2022-). 7 episodios. Una mujer tropieza con el cuerpo de Ismael, un adolescente desaparecido treinta años antes, y el hecho la lleva de regreso a 1991 y la ve despertar cada mañana en el cuerpo de una persona diferente.","""Engancha mucho. Y sí, su concepto podría evolucionar sin problema, de modo que quizás tengamos más temporadas en un futuro. Personalmente, me encantaría (...) Puntuación: ★★★★ (sobre 5)"" 
Karina Adelgaard: Heaven of Horror
""Sus primeros 40 minutos no son exactamente originales, pero muestra una considerable ventaja en sus sólidas interpretaciones, su ambición narrativa y su modesto estilo visual"" 
John Serba: Decider",NA
"Samurai Rabbit: The Usagi Chronicles","2022","25 min.","Estados Unidos","Douglas Langdale (Creador), Stan Sakai (Creador), Ben Jones","Candie Langdale, Douglas Langdale, Chris Barger, Gene Grillo, Charlotte Wilson Langley, Jeffrey Reddick, Atsuko Tsuji, Matt Wayne. Cómic: Stan Sakaiver 5 más","Aiko Fukushima","Animación","Animación","88 Pictures, Atomic Monster, Dark Horse Entertainment, Gaumont Animation, Netflix Animation. Distribuidora: Netflix","Serie de TV. Animación. Acción. Aventuras | Samuráis","Un conejo adolescente que quiere ser un auténtico samurái se une a un grupo de guerreros con los que protege su ciudad de monstruos yokai, ninjas y malvados alienígenas. Adaptación del cómic de Stan Sakai. ","""Disfrutarás de su acción rápida y de su simpático reparto de personajes (...) El espectador avezado notará que en gran parte es muy parecida a la franquicia de Kung Fu Panda"" 
Stephanie Morgan: Common Sense Media",NA
"The Mystery of Marilyn Monroe: The Unheard Tapes","2022","101 min.","Estados Unidos","Emma Cooper",NA,"Anne Nikitin","Geoffrey Sentamu","Documental","Distribuidora: Netflix","Documental | Documental sobre cine. True Crime","Documental que explora el misterio de la muerte del icono del cine Marilyn Monroe a través de entrevistas inéditas con su círculo más cercano.

Estreno: 27 abril 2022 en Netflix.","""Lo que la salva hasta cierto punto es la riqueza de su fabuloso material de archivo (...) Y, por supuesto, la misma Marilyn Monroe, cuyo mágico atractivo y evocadora soledad trascienden incluso este torpe tratamiento"" 
David Rooney: The Hollywood Reporter
""Una visión esclarecedora del auge y caída de unos de los mayores iconos de la Historia (...) Puntuación: ★★★★ (sobre 5)"" 
Ricky Valero: Ready Steady Cut
""Este intento de arrojar una luz sobre la vida secreta de Marilyn parece más un podcast que un documental, pero en cualquier caso, no aporta ninguna novedad"" 
Fran Hoepfner: The Wrap
""Un documental que es menos sobre Monroe y más una meta-reflexión involuntaria de cómo el periodismo amarillista ha recibido un barniz de respetabilidad por los 'streamers' que buscan contenido"" 
Christian Gallichio: The Playlist
""Por suerte, evita ser demasiado escabrosa o vulgar. Pero eso no cambia el hecho de que nos deja queriendo más"" 
Chris Evangelista: SlashFilm
""¿Ofrece alguna respuesta concreta? Realmente, no. Pero arroja luz sobre muchas de las cuestiones que rodearon a su prematura muerte (...) Puntuación: ★★★ (sobre 5)"" 
Karina Adelgaard: Heaven of Horror
""Se pasa 70 minutos reiterando hechos que todo el mundo conoce y luego, 30 minutos, desmintiendo teorías conspirativas en las que nadie cree"" 
David Ehrlich: IndieWire
Mostrar 4 críticas más",NA
"Silverton Siege","2022","100 min.","Sudáfrica","Mandla Dube",NA,"Rashid Lanie","Shaun Harley Lee","Arnold Vosloo, Tumisho Masha, Thabo Rametsi, Noxolo Dlamini, Stefan Erasmus, Elani Dekker, Michelle Mosalakae","Pambili Media. Distribuidora: Netflix","Acción. Drama | Basado en hechos reales. Secuestros / Desapariciones. Años 80","Tras una misión de sabotaje fallida, un trío de rebeldes contra el apartheid se ve envuelto en una tensa situación con rehenes en un banco.","""Una tensa e implacable película de acción, que también hace una aguda reflexión sobre lo que significa luchar por la libertad en una sociedad injusta"" 
Brian Costello: Common Sense Media
""Ambientada en la Sudáfrica de la época del apartheid, 'Silverton Siege' tiene potencial, pero con un mal guion y sin un camino claro a seguir, se convierte en un thriller de rehenes mediocre (…) Puntuación: ★★ (sobre 5)"" 
Abirbhab Maitra: Ready Steady Cut
""En este thriller de acción hay clichés absurdos y montajes de corte liberal muy evidentes (...) Es bastante corriente y decepcionante (…) Puntuación: ★★ (sobre 5)"" 
Peter Bradshaw: The Guardian
""Cae presa de los tópicos de las películas de negociación de rehenes, pero está impulsada por interesantes toques de época y algunas sólidas interpretaciones principales"" 
Johnny Loftus: Decider
""Hay mucho que admirar en 'Silverton Siege', pero gran parte de ello proviene de la propia historia real, y la película desaprovecha todas las oportunidades que tiene para impactar (…) Puntuación: ★★★ (sobre 5)"" 
Paul Bradshaw: NME",NA
"365 dni: Ten dzień","2022","111 min.","Polonia","Barbara Bialowas, Tomasz Mandes","Blanka Lipinska, Mojca Tirs, Tomasz Mandes. Novela: Blanka Lipinska","Dominik Buczkowski, Patryk Kumór","Bartek Cierlica","Michele Morrone, Anna Maria Sieklucka, Magdalena Lamparska, Simone Susinna, Otar Saralidze, Ewa Kasprzyk, Dariusz Jakubowski, Ramón Langa, Natasza Urbanska, Tomasz Mandes, Blanka Lipinska, Natalia Siwiec, Robert Wabich, Slawomir Mandes, Rafal Iwaniuk","Ekipa, Future Space, Netflix, Next Film, TVN, Open Mind Production. Distribuidora: Netflix","Drama | Erótico. Secuela","Vuelven Laura y Massimo más apasionados que nunca. Pero la nueva vida de la pareja se complica por culpa de los lazos familiares de Massimo y de un hombre misterioso dispuesto a ganarse el corazón y la confianza de Laura, cueste lo que cueste... Secuela de '365 días' (2020).","""Es difícil decir si es peor durante sus escenas de sexo o durante las escenas sin sexo"" 
John Serba: Decider
""Carece de química, trama, dirección o incluso la mínima atención al detalle (...) Repetitiva y vacía hasta el punto de ser risible"" 
Kate Erbland: IndieWire
""Si le quitas todos los montajes - no sólo es sexo: son compras, cenas y conducir buenos coches por carreteras de montaña muy pintorescas- tiene unos 15 minutos de trama (...) Puntuación: ★★ (sobre 5)"" 
Jonathon Wilson: Ready Steady Cut
""Hay una nueva obra maestra en la ciudad (...) Una mala copia de un culebrón y una publicidad bochornosa para el thriller erótico"" 
Greg Wheeler: The Review Geek
""Una segunda entrega aún más empalagosa de la chorrada 'softcore' polaca"" 
Jessica Kiang: Variety
""Apenas es una película. Es una identificación emocionalmente insolvente del capitalismo tardío, una miasma descerebrada de sexo coreografiado y peleas absurdas (...) Puntuación: ★ (sobre 4)"" 
Katie Rife: Polygon
""Tiene más sexo (o al menos, más participantes), más amenazas, más coches y ropa caros, más comedia inintencionada, aún menos trama y el mismo número de penes visibles (cero)"" 
Oli Welsh: Polygon
Mostrar 2 críticas más",NA
"La svolta","2021","90 min.","Italia","Riccardo Antonaroli","Roberto Cimpanelli, Gabriele Scarfone","Michele Braga","Emanuele Zarlenga","Andrea Lattanzi, Brando Pacitto, Ludovica Martino, Chabeli Sastre, Claudio Bigagli, Marcello Fonte, Cristian Di Sante, Tullio Sorrentino, Filippo Contri, Max Malatesta","Rodeo Drive, Life Cinema, RAI Cinema, Ministero della Cultura, Regione Lazio. Distribuidora: Netflix","Drama | Crimen","Un holgazán, que hace todo lo posible por evitar conflictos, entabla una amistad inimaginable con un peligroso matón que entra en su vida de forma repentina.","""Siempre resulta mágico cuando descubres una absoluta joya de película y esta 'buddy movie' emotiva, pero definitivamente trágica, es un estupendo ejemplo (...) Puntuación: 
Kira Comerford: Ready Steady Cut
""95 minutos agradables y entretenidos, que es más de lo que puede decirse sobre muchas películas"" 
John Serba: Decider",NA
"David Spade: Nothing Personal","2022","66 min.","Estados Unidos","Ryan Polito",NA,NA,NA,"intervenciones de: David Spade","Irwin Entertainment. Distribuidora: Netflix","Comedia | Telefilm. Stand-Up","David Spade ironiza sobre la humillación que suponen las visitas al médico, la fauna del paraíso, caer en la trampa del 'clickbait' y ese selfi que nunca le sale bien.","""Puede que sea uno de los peores especiales de comedia 'stand-up' que haya visto nunca (...) Puntuación: ½ (sobre 5)"" 
Ricky Valero: Ready Steady Cut",NA
"Zachowaj spokójaka","2022","42 min.","Polonia","Michal Gazda, Bartosz Konopka","Agata Malesinska, Wojciech Miloszewski. Novela: Harlan Coben",NA,NA,"Magdalena Boczarska, Leszek Lichota, Krzysztof Oleksyn, Agnieszka Grochowska, Grzegorz Damiecki, Bartlomiej Topa, Justyna Wasilewska, Jacek Poniedzialek, Wiktoria Gorodecka","Netflix, ATM Grupa S.A. Distribuidora: Netflix","Serie de TV. Drama. Thriller | Secuestros / Desapariciones","Serie de TV (2022-). En una urbanización rica, donde la comunidad local lleva una vida tranquila, todo cambia cuando Adam, de 18 años, desaparece sin dejar rastro.","""Si ya has visto 'The Woods' seguramente también querrás ver ésta. Si no las has visto, igualmente puedes disfrutarla como una historia aparte (...) Puntuación: ★★★★ (sobre 5)"" 
Karina Adelgaard: Heaven of Horror
""Lucha ligeramente por intentar conectar sus puntos en el cuarto y quinto capítulo, pero hay muchos giros emocionantes que te mantienen enganchado (...) Otra digna adaptación de Harlan Coben (...) Puntuación: ★★★½ (sobre 5)"" 
Daniel Hart: Ready Steady Cut
""Una de las adaptaciones con más misterios y víctimas de lo que hasta ahora había mostrado Netflix, que dejará una vez más al espectador al filo del asiento a lo largo de sus seis episodios."" 
Lya Rosén: Diario La Tercera
""Si bien no falta en cada episodio alguna situación de tensión genuina, la resolución de ciertas cosas parecen fruto de que todo quepa en el molde, tiene seis episodios de una hora. Y eso disuelve la efectividad de la trama. Puntuación: ★★★ (sobre 5)"" 
Leonardo D’Espósito: Revista Noticias",NA
